,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10196,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19359350.0,19359350.0,False,,1,,,,2023-04-29T15:15:00.000Z,29332.936120140104,12092048464.572355,-46.7784,-0.15510599,1.05369866,6.89375152,3.1386897,25.08979214,24.69408522,567866576877.4343,46.9492,615991658522.94,,2023-04-29T15:15:00.000Z,,,,,,2023-04-29 22:16:48.976552
1,1027,Ethereum,ETH,ethereum,6802,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120406200.07691017,120406200.07691017,False,,2,,,,2023-04-29T15:15:00.000Z,1910.0886012783365,5396491972.128939,-50.4933,-0.17226983,1.75734508,2.52927299,6.48809239,16.780454,18.32608844,229986510290.14487,19.015,229986510290.14,,2023-04-29T15:15:00.000Z,,,,,,2023-04-29 22:16:48.976552
2,825,Tether,USDT,tether,52294,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,81698117583.08765,85090638896.27086,False,,3,,,,2023-04-29T15:15:00.000Z,1.0006696929744756,18590044815.145973,-42.5419,-0.00234039,0.02831544,0.04386988,0.06250905,0.05104216,0.04694336,81752830238.46092,6.759,85147623499.33,,2023-04-29T15:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-04-29 22:16:48.976552
3,1839,BNB,BNB,bnb,1303,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1']",,155862940.48977908,155862940.48977908,False,,4,,,,2023-04-29T15:15:00.000Z,323.26687900702007,568177564.2248168,-49.569,-0.22115805,0.56559223,-1.64974887,2.14689824,6.42852633,1.29529082,50385326324.987785,4.1658,50385326324.99,,2023-04-29T15:15:00.000Z,,,,,,2023-04-29 22:16:48.976552
4,3408,USD Coin,USDC,usd-coin,12088,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,30510153410.884674,30510153410.884674,False,,5,,,,2023-04-29T15:15:00.000Z,1.0000578102530813,2919023437.341986,-37.5962,0.00767507,0.00678732,-0.01011003,0.03044667,0.01152774,0.00371642,30511917210.574905,2.5226,30511917210.57,,2023-04-29T15:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-04-29 22:16:48.976552
5,52,XRP,XRP,xrp,940,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51750810378.0,99988998998.0,False,,6,,,,2023-04-29T15:15:00.000Z,0.48043513043297675,747273608.9234701,-53.6577,-0.19703368,2.63315084,2.04922029,-11.28036691,27.22168949,16.44467389,24862907333.96668,2.0556,48043513043.3,,2023-04-29T15:15:00.000Z,,,,,,2023-04-29 22:16:48.976552
6,2010,Cardano,ADA,cardano,774,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34807140884.864,35727842284.508,False,,7,,,,2023-04-29T15:15:00.000Z,0.4064567869457265,162062125.4747697,-49.1872,0.06652556,1.4552353,2.55212069,7.44150692,12.40360082,4.31044831,14147598646.829052,1.1697,18290555412.56,,2023-04-29T15:15:00.000Z,,,,,,2023-04-29 22:16:48.976552
7,74,Dogecoin,DOGE,dogecoin,698,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139139046383.70526,139139046383.70526,False,,8,,,,2023-04-29T15:15:00.000Z,0.08121571163827142,241927363.22128195,-21.6587,-0.07274203,1.90758573,1.41629127,8.33295426,-0.68343754,-9.95438114,11300276668.723078,0.9343,11300276668.72,,2023-04-29T15:15:00.000Z,,,,,,2023-04-29 22:16:48.976552
8,3890,Polygon,MATIC,polygon,679,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9249469069.28493,10000000000.0,False,,9,,,,2023-04-29T15:15:00.000Z,1.0180182665761823,340443705.36311615,-26.9924,0.05376702,3.01814609,0.01811265,-8.23246097,-17.29466873,-13.93481692,9416128468.663458,0.7785,10180182665.76,,2023-04-29T15:15:00.000Z,,,,,,2023-04-29 22:16:48.976552
9,5426,Solana,SOL,solana,458,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1']",,393028455.1338032,539312704.8875339,False,,10,,,,2023-04-29T15:15:00.000Z,23.616760341238123,505401546.1454752,19.4239,-0.23533642,6.07558073,9.50152496,14.29383134,5.12601495,-4.33955575,9282058832.18209,0.7674,12736818900.31,,2023-04-29T15:15:00.000Z,,,,,,2023-04-29 22:16:48.976552
